,N/L,Flow,Pat,R_a
378,2.01,0.819084,1,5
379,2.02,0.817418,1,5
380,2.03,0.84546,1,5
381,2.04,0.918222,1,5
382,2.05,0.822314,1,5
383,2.06,0.817228,1,5
384,2.07,0.813844,1,5
385,2.08,0.830334,1,5
386,2.09,0.978054,1,5
387,2.1,0.831042,1,5
388,2.11,0.944234,1,5
389,2.12,0.832304,1,5
390,2.13,0.836054,1,5
391,2.14,0.840578,1,5
392,2.15,0.83978,1,5
393,2.16,0.830494,1,5
394,2.17,0.883804,1,5
395,2.18,0.842716,1,5
396,2.19,0.84403,1,5
397,2.2,0.839192,1,5
398,2.21,0.846354,1,5
399,2.22,0.839832,1,5
400,2.23,0.841976,1,5
401,2.24,0.849766,1,5
402,2.25,0.852212,1,5
403,2.26,0.848716,1,5
404,2.27,0.85154,1,5
405,2.28,0.850766,1,5
406,2.29,0.856974,1,5
407,2.3,0.85542,1,5
408,1.8,0.897948,1,5
409,1.81,0.903248,1,5
410,1.82,0.907,1,5
411,1.83,0.78919,1,5
412,1.84,0.915888,1,5
413,1.85,0.921732,1,5
414,1.86,0.927616,1,5
415,1.87,0.873074,1,5
416,1.88,0.814802,1,5
417,1.89,0.929654,1,5
418,1.9,0.792224,1,5
419,1.91,0.950358,1,5
420,1.92,0.957446,1,5
421,1.93,0.95057,1,5
422,1.94,0.819598,1,5
423,1.95,0.803378,1,5
424,1.96,0.896776,1,5
425,1.97,0.829294,1,5
426,1.98,0.919788,1,5
427,1.99,0.842926,1,5
428,2.0,0.924436,1,5
429,2.01,0.819334,1,5
430,2.02,0.821652,1,5
431,2.03,0.92931,1,5
432,2.04,0.81581,1,5
433,2.05,0.817972,1,5
434,2.06,0.828474,1,5
435,2.07,0.830446,1,5
436,2.08,0.830614,1,5
437,2.09,0.941402,1,5
438,2.1,0.831498,1,5
439,2.11,0.933706,1,5
440,2.12,0.83361,1,5
441,2.13,0.949528,1,5
442,2.14,0.829238,1,5
443,2.15,0.839856,1,5
444,2.16,0.838594,1,5
445,2.17,0.84058,1,5
446,2.18,0.844052,1,5
447,2.19,0.837928,1,5
448,2.2,0.845292,1,5
449,2.21,0.841608,1,5
450,2.22,0.841076,1,5
451,2.23,0.842286,1,5
452,2.24,0.843798,1,5
453,2.25,0.851074,1,5
454,2.26,0.84779,1,5
455,2.27,0.852786,1,5
456,2.28,0.849836,1,5
457,2.29,0.859308,1,5
458,2.3,0.856326,1,5
459,1.8,0.812308,1,5
460,1.81,0.902904,1,5
461,1.82,0.907978,1,5
462,1.83,0.911748,1,5
463,1.84,0.914524,1,5
464,1.85,0.923062,1,5
465,1.86,0.924794,1,5
466,1.87,0.78725,1,5
467,1.88,0.936828,1,5
468,1.89,0.942516,1,5
469,1.9,0.80874,1,5
470,1.91,0.798942,1,5
471,1.92,0.799248,1,5
472,1.93,0.8933,1,5
473,1.94,0.912504,1,5
474,1.95,0.913776,1,5
475,1.96,0.97206,1,5
476,1.97,0.806372,1,5
477,1.98,0.832836,1,5
478,1.99,0.817302,1,5
479,2.0,0.941038,1,5
480,2.01,0.810232,1,5
481,2.02,0.841672,1,5
482,2.03,0.84547,1,5
483,2.04,0.982268,1,5
484,2.05,0.822484,1,5
485,2.06,0.935994,1,5
486,2.07,0.828282,1,5
487,2.08,0.829188,1,5
488,2.09,0.834632,1,5
489,2.1,0.823588,1,5
490,2.11,0.821302,1,5
491,2.12,0.823388,1,5
492,2.13,0.83722,1,5
493,2.14,0.839932,1,5
494,2.15,0.83472,1,5
495,2.16,0.846902,1,5
496,2.17,0.836584,1,5
497,2.18,0.839676,1,5
498,2.19,0.839338,1,5
499,2.2,0.842358,1,5
500,2.21,0.8436,1,5
501,2.22,0.845336,1,5
502,2.23,0.844344,1,5
503,2.24,0.84427,1,5
504,2.25,0.85072,1,5
505,2.26,0.859228,1,5
506,2.27,0.853132,1,5
507,2.28,0.854026,1,5
508,2.29,0.852964,1,5
509,2.3,0.853802,1,5
