,N,L,Max,Pat,R_A
511,210,100,0.995202,1,1
512,210,100,0.881176,1,2
513,210,100,0.855672,1,3
514,210,100,0.984792,1,4
515,210,100,0.825946,1,5
516,210,100,0.811494,1,6
517,210,100,0.82105,1,7
518,210,100,0.797014,1,8
519,210,100,0.766978,1,9
520,240,100,0.948112,1,0
521,240,100,0.944374,1,1
522,240,100,0.907794,1,2
523,240,100,0.898422,1,3
524,240,100,0.87981,1,4
525,240,100,0.869026,1,5
526,240,100,0.866782,1,6
527,240,100,0.862612,1,7
528,240,100,0.856586,1,8
529,240,100,0.857114,1,9
530,270,100,0.992954,1,0
531,270,100,0.95957,1,1
532,270,100,0.943958,1,2
533,270,100,0.933506,1,3
534,270,100,0.920004,1,4
535,270,100,0.91453,1,5
536,270,100,0.91689,1,6
537,270,100,0.91349,1,7
538,270,100,0.9128,1,8
539,270,100,0.9259,1,9
540,300,100,0.99427,1,0
541,300,100,0.98055,1,1
542,300,100,0.974754,1,2
543,300,100,0.970076,1,3
544,300,100,0.964132,1,4
545,300,100,0.957036,1,5
546,300,100,0.957252,1,6
547,300,100,0.956278,1,7
548,300,100,0.956688,1,8
549,300,100,0.954056,1,9
550,0,100,0.0,1,0
551,0,100,0.0,1,1
552,0,100,0.0,1,2
553,0,100,0.0,1,3
554,0,100,0.0,1,4
555,0,100,0.0,1,5
556,0,100,0.0,1,6
557,0,100,0.0,1,7
558,0,100,0.0,1,8
559,0,100,0.0,1,9
560,30,100,0.149984,1,0
561,30,100,0.149902,1,1
562,30,100,0.149904,1,2
563,30,100,0.149998,1,3
564,30,100,0.149874,1,4
565,30,100,0.149876,1,5
566,30,100,0.149864,1,6
567,30,100,0.14988,1,7
568,30,100,0.149852,1,8
569,30,100,0.149786,1,9
570,60,100,0.29989,1,0
571,60,100,0.299778,1,1
572,60,100,0.299762,1,2
573,60,100,0.299852,1,3
574,60,100,0.299706,1,4
575,60,100,0.299762,1,5
576,60,100,0.299672,1,6
577,60,100,0.299612,1,7
578,60,100,0.299566,1,8
579,60,100,0.26887,1,9
580,90,100,0.449686,1,0
581,90,100,0.449548,1,1
582,90,100,0.449682,1,2
583,90,100,0.449724,1,3
584,90,100,0.449444,1,4
585,90,100,0.449464,1,5
